Month,Age,P1,P2,Tissue,Treatment,Location
Unknown,Y,P17253,102,Bud,SDW15,Indoor 
Unknown,Y,P17253,103,Bud,SDW15,Indoor
Unknown,Y,P17253,105,Bud,SDW15,Indoor 
Unknown,Y,P17253,106,Bud,SDW15,Indoor
Unknown,Y,P17253,107,Bud,CTW10,Indoor 
Unknown,Y,P17253,108,Bud,CTW10,Indoor
Unknown,Y,P17253,109,Bud,CTW10,Indoor 
Unknown,Y,P17253,110,Bud,CTW10,Indoor
Unknown,Y,P17253,111,Bud,CTW10,Indoor 
Unknown,Y,P17253,112,Bud,CTW10,Indoor
Unknown,Y,P17253,113,Bud,BBW1,Indoor 
Unknown,Y,P17253,114,Bud,BBW1,Indoor
Unknown,Y,P17253,115,Bud,BBW1,Indoor 
Unknown,Y,P17253,116,Bud,BBW1,Indoor
Unknown,Y,P17253,117,Bud,BBW1,Indoor 
Unknown,Y,P17253,118,Bud,BBW1,Indoor
Unknown,Y,P17253,119,Bud,BBW2,Indoor 
Unknown,Y,P17253,120,Bud,BBW2,Indoor
Unknown,Y,P17253,121,Bud,BBW2,Indoor 
Unknown,Y,P17253,122,Bud,BBW2,Indoor
Unknown,Y,P17253,123,Bud,BBW2,Indoor 
Unknown,Y,P17253,124,Bud,BBW2,Indoor
Unknown,Y,P17253,125,Bud,BBW2,Indoor 
Unknown,Y,P17253,126,Bud,BBW2,Indoor
Unknown,Y,P17253,127,Bud,BBW2,Indoor 
Unknown,Y,P17253,128,Bud,BBW2,Indoor
Unknown,Y,P17253,129,Bud,BBW2,Indoor 
Unknown,Y,P17253,130,Bud,BBW2,Indoor
Unknown,Y,P17253,131,Bud,BBW2,Indoor 
Unknown,Y,P17253,132,Bud,BBW2,Indoor
Unknown,Y,P17253,133,Bud,BBW2,Indoor 
Unknown,Y,P17253,134,Bud,BBW2,Indoor
Unknown,Y,P17253,135,Bud,BBW2,Indoor 
Unknown,Y,P17253,136,Bud,BBW2,Indoor
Unknown,Y,P17253,137,Bud,BBW3,Indoor 
Unknown,Y,P17253,138,Bud,BBW3,Indoor
Unknown,Y,P17253,139,Bud,BBW3,Indoor 
Unknown,Y,P17253,140,Bud,BBW3,Indoor
Unknown,Y,P17253,141,Bud,BBW3,Indoor 
Unknown,Y,P17253,142,Bud,BBW3,Indoor
Unknown,Y,P17253,143,Bud,BBW3,Indoor 
Unknown,Y,P17253,144,Bud,BBW3,Indoor
Unknown,Y,P17253,145,Bud,BBW3,Indoor 
Unknown,Y,P17253,146,Bud,BBW3,Indoor
Unknown,Y,P17253,147,Bud,BBW3,Indoor 
Unknown,Y,P17253,148,Bud,BBW3,Indoor
Unknown,Y,P12869,125,Leaf,LDW4,Indoor 
Unknown,Y,P12869,126,Leaf,LDW4,Indoor
Unknown,Y,P12869,127,Leaf,LDW4,Indoor 
Unknown,Y,P12869,131,Leaf,LDW4,Indoor 
