gene_id	chromosome_name	description
Potra2n1c1	chr1	None available
Potra2n1c2	chr1	None available
Potra2n1c3	chr1	sp|A0A0B2WJN5|MLAC1_METAS Laccase 1 OS=Metarhizium album (strain ARSEF 1941) OX=1081103 GN=Mlac1 PE=3 SV=1
Potra2n1c4	chr1	sp|Q12739|LAC2_PLEOS Laccase-2 OS=Pleurotus ostreatus OX=5322 GN=POX2 PE=1 SV=1
Potra2n1c5	chr1	None available
Potra2n1c6	chr1	sp|Q8R4E6|PURG_MOUSE Purine-rich element-binding protein gamma OS=Mus musculus OX=10090 GN=Purg PE=1 SV=1
Potra2n1c7	chr1	None available
Potra2n1c8	chr1	sp|Q60LV7|KI26L_CAEBR Kinesin-like protein vab-8 OS=Caenorhabditis briggsae OX=6238 GN=vab-8 PE=3 SV=3
Potra2n1c9	chr1	None available
Potra2n1c10	chr1	None available
Potra2n1c11	chr1	sp|Q10S70|EXLA1_ORYSJ Expansin-like A1 OS=Oryza sativa subsp. japonica OX=39947 GN=EXLA1 PE=2 SV=1
Potra2n1c12	chr1	sp|F4I1T7|NP214_ARATH Nuclear pore complex protein NUP214 OS=Arabidopsis thaliana OX=3702 GN=NUP214 PE=1 SV=1
Potra2n1c13	chr1	sp|Q84K90|RHIP1_ARATH RGS1-HXK1-interacting protein 1 OS=Arabidopsis thaliana OX=3702 GN=RHIP1 PE=1 SV=1
Potra2n1c14	chr1	None available
Potra2n1c15	chr1	sp|Q9D9X6|ZSWM2_MOUSE E3 ubiquitin-protein ligase Zswim2 OS=Mus musculus OX=10090 GN=Zswim2 PE=1 SV=1
Potra2n1c16	chr1	sp|P19680|KPYK_SPICI Pyruvate kinase (Fragment) OS=Spiroplasma citri OX=2133 GN=pyk PE=3 SV=1
Potra2n1c17	chr1	sp|Q9UJJ9|GNPTG_HUMAN N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Homo sapiens OX=9606 GN=GNPTG PE=1 SV=1
Potra2n1c18	chr1	None available
Potra2n1c19	chr1	sp|A9LNK9|CPSF_ARATH 30-kDa cleavage and polyadenylation specificity factor 30 OS=Arabidopsis thaliana OX=3702 GN=CPSF30 PE=1 SV=1
Potra2n1c20	chr1	None available
Potra2n1c21	chr1	sp|P29141|SUBV_BACSU Minor extracellular protease vpr OS=Bacillus subtilis (strain 168) OX=224308 GN=vpr PE=1 SV=1
Potra2n1c22	chr1	sp|Q9HBY8|SGK2_HUMAN Serine/threonine-protein kinase Sgk2 OS=Homo sapiens OX=9606 GN=SGK2 PE=1 SV=1
Potra2n1c23	chr1	sp|Q6CL82|TCPD_KLULA T-complex protein 1 subunit delta OS=Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) OX=284590 GN=CCT4 PE=3 SV=1
Potra2n1c24	chr1	sp|Q9XI17|PUM20_ARATH Putative pumilio homolog 20 OS=Arabidopsis thaliana OX=3702 GN=APUM20 PE=5 SV=2
Potra2n1c25	chr1	sp|A0A084R1M6|ATR2_STAC4 Cytochrome P450 monooxygenase ATR2 OS=Stachybotrys chlorohalonata (strain IBT 40285) OX=1283841 GN=ATR2 PE=3 SV=1
Potra2n1c26	chr1	None available
Potra2n1c27	chr1	sp|P0C895|Y2010_ARATH LRR repeats and ubiquitin-like domain-containing protein At2g30105 OS=Arabidopsis thaliana OX=3702 GN=At2g30105 PE=1 SV=1
Potra2n1c28	chr1	None available
Potra2n1c29	chr1	None available
Potra2n1c30	chr1	None available
Potra2n1c31	chr1	sp|Q9CHX0|PRMC_LACLA Release factor glutamine methyltransferase OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=prmC PE=3 SV=1
Potra2n1c32	chr1	None available
Potra2n1c33	chr1	None available
Potra2n1c34	chr1	sp|Q55FS2|STK4L_DICDI Serine/threonine-protein kinase 4 homolog B OS=Dictyostelium discoideum OX=44689 GN=krsB PE=3 SV=1
Potra2n1c35	chr1	None available
Potra2n1c36	chr1	None available
Potra2n1c37	chr1	sp|Q7KTX8|MED13_DROME Mediator of RNA polymerase II transcription subunit 13 OS=Drosophila melanogaster OX=7227 GN=skd PE=1 SV=1
Potra2n1c38	chr1	sp|P47272|EFP_MYCGE Elongation factor P OS=Mycoplasma genitalium (strain ATCC 33530 / G-37 / NCTC 10195) OX=243273 GN=efp PE=3 SV=1
Potra2n1c39	chr1	None available
Potra2n1c40	chr1	sp|Q2HFL6|TPC1_CHAGB Mitochondrial thiamine pyrophosphate carrier 1 OS=Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) OX=306901 GN=TPC1 PE=3 SV=2
Potra2n1c41	chr1	sp|P84549|TBA_POPEU Tubulin alpha chain (Fragments) OS=Populus euphratica OX=75702 PE=1 SV=1
Potra2n1c42	chr1	sp|Q38Q39|ERF27_ARATH Ethylene-responsive transcription factor ERF027 OS=Arabidopsis thaliana OX=3702 GN=ERF027 PE=2 SV=1
Potra2n1c43	chr1	None available
Potra2n1c44	chr1	sp|B9FDR3|TNPO1_ORYSJ Transportin-1 OS=Oryza sativa subsp. japonica OX=39947 GN=TRN1 PE=3 SV=2
Potra2n1c45	chr1	None available
Potra2n1c46	chr1	sp|O74806|PTH_SCHPO Probable peptidyl-tRNA hydrolase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pth1 PE=3 SV=2
Potra2n1c47	chr1	None available
Potra2n1c48	chr1	sp|D3GKW6|TCL1_ARATH MYB-like transcription factor TCL1 OS=Arabidopsis thaliana OX=3702 GN=TCL1 PE=2 SV=1
Potra2n1c49	chr1	None available
Potra2n1c50	chr1	None available
Potra2n1c51	chr1	sp|B2HS63|LOGH_MYCMM Cytokinin riboside 5'-monophosphate phosphoribohydrolase OS=Mycobacterium marinum (strain ATCC BAA-535 / M) OX=216594 GN=MMAR_4233 PE=1 SV=1
Potra2n1c52	chr1	None available
Potra2n1c53	chr1	sp|Q9LFA4|IQM3_ARATH IQ domain-containing protein IQM3 OS=Arabidopsis thaliana OX=3702 GN=IQM3 PE=2 SV=1
Potra2n1c54	chr1	None available
