#Please import the downloaded file into Excel 2007 or above version
Family	Family_type	Sequence_Acc	Domains	Sequence_Annotation
Nin-like	transcription factor	Potra2n4c10214.5	IPR003035	protein AED:0.19 eAED:0.19 QI:646|0.66|1|1|1|0.75|4|1805|929
Nin-like	transcription factor	Potra2n4c10214.7	IPR003035	protein AED:0.20 eAED:0.20 QI:480|0.5|1|1|1|1|3|1805|929
AUX-IAA	transcription factor interactor and regulator	Potra2n9c19083.1	IPR011525	protein AED:0.03 eAED:0.03 QI:0|1|0.5|1|0.66|0.75|4|154|146
GRAS	transcription factor	Potra2n4c10244.1	IPR005202	protein AED:0.44 eAED:0.42 QI:0|0|0|0.75|1|1|4|0|465
ARID	transcription factor & chromatin remodeling	Potra2n4c10246.4	IPR001606	protein AED:0.11 eAED:0.11 QI:5936|1|1|1|0.66|0.62|16|558|534
ARID	transcription factor & chromatin remodeling	Potra2n4c10246.7	IPR001606	protein AED:0.09 eAED:0.09 QI:6379|1|1|1|0.71|0.66|15|558|534
Bromodomain	chromatin remodeler	Potra2n4c10219.1	IPR001487	protein AED:0.24 eAED:0.24 QI:92|1|1|1|1|1|9|696|764
Bromodomain	chromatin remodeler	Potra2n4c10375.1	IPR001487	protein AED:0.14 eAED:0.14 QI:1616|0.81|0.76|1|0.75|0.76|17|0|987
Bromodomain	chromatin remodeler	Potra2n4c10375.2	IPR001487	protein AED:0.15 eAED:0.15 QI:1616|0.87|0.82|1|0.81|0.82|17|0|966
Bromodomain	chromatin remodeler	Potra2n4c10375.3	IPR001487,IPR018359	protein AED:0.20 eAED:0.20 QI:342|0.81|0.76|1|0.75|0.76|17|0|1154
Bromodomain	chromatin remodeler	Potra2n4c10375.4	IPR001487,IPR018359	protein AED:0.21 eAED:0.21 QI:342|0.87|0.82|1|0.81|0.82|17|0|1133
Bromodomain	chromatin remodeler	Potra2n4c10375.5	IPR001487,IPR018359	protein AED:0.19 eAED:0.19 QI:217|1|1|1|0.73|0.81|16|488|1086
CCHC(Zn)	transcription factor interactor and regulator	Potra2n4c10379.1	IPR001878	protein AED:0.20 eAED:0.20 QI:567|1|1|1|0.5|0.33|3|520|587
CCHC(Zn)	transcription factor interactor and regulator	Potra2n4c10379.2	IPR001878	protein AED:0.22 eAED:0.22 QI:344|1|1|1|0.5|0.33|3|520|587
CCHC(Zn)	transcription factor interactor and regulator	Potra2n4c10379.3	IPR001878	protein AED:0.26 eAED:0.26 QI:20|1|1|1|1|1|2|520|587
TCP	transcription factor	Potra2n4c10360.1	IPR005333,IPR017887	protein AED:0.20 eAED:0.20 QI:0|0|0.5|1|0|0|2|215|594
Bromodomain	chromatin remodeler	Potra2n4c10376.1	IPR001487,IPR018359	protein AED:0.23 eAED:0.23 QI:210|0.5|0.55|1|0.5|0.66|9|622|702
Bromodomain	chromatin remodeler	Potra2n4c10376.2	IPR001487,IPR018359	protein AED:0.25 eAED:0.25 QI:210|0.83|0.71|1|0.83|0.85|7|622|630
Bromodomain	chromatin remodeler	Potra2n4c10376.3	IPR001487,IPR018359	protein AED:0.26 eAED:0.26 QI:210|1|1|1|0.83|1|7|622|609
MADS-type1	transcription factor	Potra2n4c10361.1	IPR002100	protein AED:0.33 eAED:0.31 QI:0|-1|0|1|-1|1|1|0|267
C2H2	transcription factor	Potra2n4c10357.1	IPR007087,IPR015880	protein AED:0.31 eAED:0.31 QI:888|1|1|1|0.33|0.42|7|287|217
C2H2	transcription factor	Potra2n4c10357.2	IPR007087,IPR015880	protein AED:0.21 eAED:0.21 QI:1800|1|1|1|0.4|0.33|6|287|217
C2H2	transcription factor	Potra2n4c10357.3	IPR007087,IPR015880	protein AED:0.31 eAED:0.31 QI:511|1|1|1|0.4|0.66|6|281|343
C2H2	transcription factor	Potra2n4c10357.4	IPR007087,IPR015880	protein AED:0.33 eAED:0.33 QI:239|0.75|1|1|1|1|5|281|350
WD40-like	transcription factor	Potra2n4c10364.1	IPR001680,IPR017986,IPR019775	protein AED:0.30 eAED:0.30 QI:187|1|1|1|0.77|0.73|19|480|725
WD40-like	transcription factor	Potra2n4c10364.2	IPR001680,IPR017986	protein AED:0.24 eAED:0.24 QI:2708|1|1|1|0.82|0.77|18|480|140
WD40-like	transcription factor	Potra2n4c10364.3	IPR001680,IPR017986,IPR019775	protein AED:0.32 eAED:0.32 QI:187|0.87|0.88|1|1|1|17|370|667
WD40-like	transcription factor	Potra2n4c10364.4	IPR001680,IPR017986,IPR019775	protein AED:0.37 eAED:0.37 QI:0|0.91|0.76|1|0.91|0.84|13|480|469
WD40-like	transcription factor	Potra2n4c10364.5	IPR001680,IPR017986,IPR019775	protein AED:0.31 eAED:0.31 QI:0|1|0.91|1|0.90|0.75|12|1771|318
WD40-like	transcription factor	Potra2n4c10364.6	IPR001680,IPR017986,IPR019775	protein AED:0.38 eAED:0.38 QI:0|0.90|0.75|1|1|1|12|370|469
WD40-like	transcription factor	Potra2n4c10364.7	IPR001680,IPR017986,IPR019775	protein AED:0.29 eAED:0.29 QI:0|1|0.9|1|1|0.9|10|2097|318
C3H	transcription factor	Potra2n4c10419.1	IPR000571	protein AED:0.24 eAED:0.22 QI:146|0.88|0.9|1|0.88|0.8|10|1113|819
C3H	transcription factor	Potra2n4c10419.2	IPR000571	protein AED:0.16 eAED:0.14 QI:146|0.87|0.88|1|1|1|9|2208|819
ARF	transcription factor	Potra2n4c10421.1	IPR003340,IPR010525,IPR011525	protein AED:0.25 eAED:0.25 QI:240|1|1|1|0.86|0.75|16|871|662
ARF	transcription factor	Potra2n4c10421.2	IPR003340,IPR010525,IPR011525	protein AED:0.17 eAED:0.17 QI:240|1|1|1|0.92|0.86|15|1858|662
ARF	transcription factor	Potra2n4c10421.3	IPR003340,IPR010525,IPR011525	protein AED:0.11 eAED:0.11 QI:1026|1|1|1|1|1|14|1858|662
FAR	transcription factor	Potra2n4c10409.1	IPR004330,IPR006564	protein AED:0.19 eAED:0.19 QI:835|1|1|1|0.66|0.5|4|393|679
FAR	transcription factor	Potra2n4c10409.2	IPR004330,IPR006564	protein AED:0.22 eAED:0.22 QI:471|1|1|1|0.66|0.5|4|393|679
FAR	transcription factor	Potra2n4c10409.3	IPR004330,IPR006564	protein AED:0.14 eAED:0.14 QI:1361|1|1|1|1|1|3|393|679
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n4c10425.1	IPR016197	protein AED:0.38 eAED:0.38 QI:230|0.66|0.7|1|0.66|0.8|10|498|329
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n4c10425.2	IPR016197	protein AED:0.38 eAED:0.38 QI:230|0.75|0.77|1|1|1|9|500|326
CHROMO-DOMAIN	chromatin remodeling & transcriptional activation	Potra2n4c10425.3	IPR016197	protein AED:0.38 eAED:0.38 QI:230|0.85|0.87|1|0.85|0.87|8|500|311
B3-Domain	transcription factor	Potra2n4c10433.1	IPR003340	protein AED:0.10 eAED:0.10 QI:223|1|1|1|0.66|0.57|7|726|558
MYB-HB-like	transcription factor	Potra2n9c19091.1	IPR001005,IPR009057,IPR017884	protein AED:0.24 eAED:0.24 QI:1389|1|1|1|0|1|2|381|130
MYB/SANT	transcription factor	Potra2n9c19091.1	IPR001005,IPR009057,IPR017884	protein AED:0.24 eAED:0.24 QI:1389|1|1|1|0|1|2|381|130
NAM	transcription factor	Potra2n4c10441.1	IPR003441	protein AED:0.19 eAED:0.19 QI:389|1|1|1|0.66|0.5|4|361|388
NAM	transcription factor	Potra2n4c10441.2	IPR003441	protein AED:0.25 eAED:0.25 QI:389|0.66|0.5|0.75|0.66|0.5|4|0|389
NAM	transcription factor	Potra2n4c10441.3	IPR003441	protein AED:0.15 eAED:0.15 QI:389|1|1|1|1|1|3|570|388
HD-ZIP	transcription factor	Potra2n4c10429.1	IPR006455,IPR006456,IPR009057	protein AED:0.28 eAED:0.28 QI:0|1|1|1|0|0|2|345|273
ZF-HD	transcription factor	Potra2n4c10429.1	IPR006455,IPR006456,IPR009057	protein AED:0.28 eAED:0.28 QI:0|1|1|1|0|0|2|345|273
PHD	chromatin regulator	Potra2n4c10439.1	IPR001841,IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.39 eAED:0.39 QI:444|1|1|1|0.8|0.66|6|226|254
PHD	chromatin regulator	Potra2n4c10439.2	IPR001841,IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.39 eAED:0.39 QI:444|0.8|0.83|1|0.8|0.83|6|158|257
PHD	chromatin regulator	Potra2n4c10439.3	IPR001841,IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.37 eAED:0.37 QI:444|1|1|1|1|1|5|470|254
CCHC(Zn)	transcription factor interactor and regulator	Potra2n4c10483.1	IPR001878	protein AED:0.11 eAED:0.11 QI:466|1|1|1|1|1|7|485|474
C2H2	transcription factor	Potra2n9c18634.1	IPR001841,IPR018957	protein AED:0.35 eAED:0.26 QI:0|-1|0|1|-1|1|1|0|154
bHLH	transcription factor	Potra2n9c19090.1	IPR011598	protein AED:0.16 eAED:0.16 QI:0|0.85|0.87|1|0.71|0.5|8|849|389
bHLH	transcription factor	Potra2n9c19090.2	IPR011598	protein AED:0.16 eAED:0.16 QI:573|1|1|1|0.83|0.85|7|151|439
bHLH	transcription factor	Potra2n9c19090.3	IPR011598	protein AED:0.06 eAED:0.06 QI:573|0.8|1|1|0.8|0.83|6|738|444
WD40-like	transcription factor	Potra2n689s36486.2	IPR001680,IPR017986,IPR019775	protein AED:0.24 eAED:0.25 QI:0|0.75|0.66|0.95|0.75|0.80|21|0|1170
WD40-like	transcription factor	Potra2n689s36486.3	IPR001680,IPR017986,IPR019775	protein AED:0.24 eAED:0.24 QI:0|1|0.94|1|0.93|0.88|17|389|1002
WD40-like	transcription factor	Potra2n689s36486.4	IPR001680,IPR017986,IPR019775	protein AED:0.20 eAED:0.20 QI:0|0.93|0.87|1|0.86|0.75|16|1138|910
LisH	transcription factor interactor and regulator	Potra2n689s36491.1	IPR006594,IPR013720	protein AED:0.21 eAED:0.21 QI:0|0.57|0.62|0.87|0.57|0.62|8|1583|334
LisH	transcription factor interactor and regulator	Potra2n689s36491.2	IPR006594,IPR013720	protein AED:0.23 eAED:0.23 QI:0|0.83|0.85|0.85|0.83|0.85|7|1583|283
GRAS	transcription factor	Potra2n252s35125.1	IPR005202	protein AED:0.13 eAED:0.13 QI:892|0.5|0.66|1|1|1|3|681|726
RR-A-type	response regulator and putative novel transcription factor	Potra2n287s35201.1	IPR001789	protein AED:0.26 eAED:0.26 QI:0|0.75|0.66|1|0.62|0.66|9|210|672
RR-A-type	response regulator and putative novel transcription factor	Potra2n287s35201.2	IPR001789	protein AED:0.22 eAED:0.22 QI:0|0.71|0.62|1|0.71|0.87|8|620|672
CCHC(Zn)	transcription factor interactor and regulator	Potra2n771s36728.1	IPR001878,IPR005135	protein AED:0.98 eAED:1.00 QI:0|0|0|0.14|1|1|7|0|919
C2H2	transcription factor	Potra2n555s35945.2	IPR001841,IPR017907,IPR018957	protein AED:0.28 eAED:0.27 QI:0|0.94|0.95|1|0.94|0.95|20|518|897
C2H2	transcription factor	Potra2n555s35945.3	IPR001841,IPR017907,IPR018957	protein AED:0.29 eAED:0.27 QI:0|0.94|0.95|1|0.94|0.95|20|410|897
C2H2	transcription factor	Potra2n555s35945.4	IPR001841,IPR017907,IPR018957	protein AED:0.27 eAED:0.26 QI:0|0.94|0.94|1|1|1|19|616|897
SBP	transcription factor	Potra2n555s35937.1	IPR004333	protein AED:0.27 eAED:0.27 QI:0|0|0.4|1|1|1|5|218|410
C2C2-GATA	transcription factor	Potra2n555s35933.1	IPR000679,IPR016679	protein AED:0.03 eAED:0.03 QI:1341|1|1|1|1|1|2|341|246
